"state","year","agi_class","age_group","total_n1","total_n2","nonmig_y1_agi","outflow_n1","outflow_n2","samest_y1_agi","net_outflow_n1","pct_outflow_n1","net_outflow_n2","pct_outflow_n2","outflow_agi","net_outflow_agi","total_agi","pct_outflow_agi"
"AR",2016,0,"3",175698,515881,10200002,5150,14000,296948,54,0.0796821819258045,-128,0.0271380415250804,324095,4566,10791197,0.030033276197256
"AR",2016,0,"4",177069,428001,12607843,3426,7525,238028,-293,0.0424975574493559,-616,0.0175817346221154,288038,10240,13107412,0.0219751999860842
"AR",2016,0,"5",166178,316915,12414150,2300,3985,175247,-812,0.0239803102697108,-1463,0.0125743495890065,188782,-57266,12850227,0.0146909467046769
"AR",2016,0,"6",183903,307371,13923371,2881,4282,145526,83,0.0232840138551301,-101,0.0139310474963481,183282,-3839,14260793,0.0128521604654103
"AR",2016,1,"0",87842,147031,973029,4214,6787,66567,98,0.0772637235035632,29,0.0461603335351048,25629,312,1099112,0.0233179148257866
"AR",2016,1,"1",18855,29307,143291,1447,2119,20862,198,0.112383983028374,294,0.0723035452281025,9205,1102,177194,0.0519487115816563
"AR",2016,1,"2",16295,31014,146662,1168,2112,18020,8,0.129610309911016,-22,0.0680982781969433,7146,-33,179085,0.0399028394337884
"AR",2016,1,"3",10432,22001,110517,551,1112,9905,-56,0.10659509202454,-113,0.0505431571292214,3399,-409,128553,0.0264404564654267
"AR",2016,1,"4",9809,16672,144914,364,540,6773,-11,0.0550514833316342,-24,0.0323896353166987,2227,-14,157608,0.0141299934013502
"AR",2016,1,"5",11343,17063,150185,260,349,4866,-79,0.0307678744600194,-139,0.0204536130809354,1399,-608,165761,0.00843986221125597
"AR",2016,1,"6",21108,30974,277458,424,555,6139,38,0.0262933484934622,33,0.0179182540195002,2250,273,290908,0.00773440400401502
"AR",2016,2,"0",257247,521672,4393654,9386,17815,237048,360,0.0692525082896982,480,0.034149810608965,158818,5634,4804928,0.0330531487672656
"AR",2016,2,"1",57528,106029,744491,3198,5176,72813,250,0.0899735780837158,355,0.0488168331305586,53979,4510,862665,0.0625723774582254
